question_id,question,reponse,autres
33,Quel est le nom du bébé au cœur de la prophétie que Willow doit protéger ?,Elora Danan,'["Aurora", "Lyssa", "Tir Asleen"]'
34,Quel est le nom de la reine maléfique ?,Bavmorda,'["Sorsha", "Cherlindrea", "Fin Raziel"]'
35,En quoi la troupe de guerriers venue défier la reine est elle métamorphosée ?,En porcs,'["En trolls", "En statues de pierre", "En chèvres"]'
36,Quel sortilège magique est administré par erreur sur Madmartigan ?,Philtre des cœurs brisés,'["Élixir lunaire", "Essence de Daïkini", "Malédiction d’amour"]'
37,Comment les autres peuples appellent-ils les humains ?,Daïkinis,'["Elders", "Hommes", "Valorians"]'
38,Comment s’appelle la grande magicienne transformée en corneille ?,Fin Raziel,'["Bavmorda", "Sorsha", "Cherlindrea"]'
39,Comment s’appelle la fée envoyée pour annoncer la prophétie concernant l’enfant élue ?,Cherlindrea,'["Fin Raziel", "Ethna", "Bavmorda"]'
40,Comment s’appelle la fille de la reine ?,Sorsha,'["Elora Danan", "Cherlindrea", "Undomiel"]'
41,En quoi Willow transforme-t-il un troll lors de la bataille à Tir Asleen ?,En hydre géante à deux têtes,'["En cochon", "En statue de pierre", "En loup géant"]'
42,Quel objet magique Willow utilise-t-il en plus de sa baguette pour ses premiers actes de sorcellerie ?,Des glands magiques,'["Des runes de pierre", "Une plume enchantée", "Des os de poulets"]'
43,Quel est le nom du sorcier Nelwyn qui cherche un apprenti",Grand Aldwin,'["Meegosh", "Burglekutt", "Gandalf"]'
44,'Comment s’appelle le préfet du village, opposé à Willow ?',Burglekutt,'["Meegosh", "Kael", "Grand Aldwin"]'
45,Comment s’appelle le meilleur ami de Willow dans le village Nelwyn ?,Meegosh,'["Madmartigan", "Raoul", "Franjean"]'
46,Quel est le nom péjoratif que donne les hommes aux Nelwyn ?,Pec,'["Plouc", "Nerd", "Nabot"]'
47,Quelle est l'oeuvre entendue au début de 2001 l'Odyssée de l’Espace ?,Ainsi parlait Zarathoustra de Richard Strauss,'["Requiem d’Amadeus Mozart", "La marche nuptiale de Richard Wagner", "Le lac des Cygnes de Piotr Ilitch Tchaïkovski"]'
48,Quelle est l'oeuvre entendue lors de l'attaque des hélicoptères dans Apocalyspse Now,"La chevauchée des Walkyries de Richard Wagner",'["Carmina Burana de Carl Orff", "Orphée aux Enfers de Jacques Offenbach", "La Sarabande de Georg Friedrich Haendel"]'
49,Orange Mécanique,Ode à la joie de Ludwig van Beethoven,'["Symphonie du Nouveau Monde d’Antonin Dvořák", "La flûte enchantée d’Amadeus Mozart", "La traviata de Giuseppe Verdi"]'
50,Rosemary''s baby,Lettre à Élise de Ludwig van Beethoven,'["Le Carnaval des animaux de Camille Saint-Saëns", "Les 4 saisons d’Antonio Vivaldi", "Sonate n° 11 d’Amadeus Mozart"]'
51,Steven Spielberg épouse ...,'Kate Capshaw, Indiana Jones et le temple maudit','["Karen Allen, les aventuriers de l’arche perdue", "Miranda Richardson, Empire du soleil", "Miranda Richardson, Rencontres du troisième type"]'
52,Joel Coen épouse ... qui participera à plusieurs de ses films,'Frances McDormand, Sang pour sang','["Holly Hunter, Arizona junior", "Marcia Gay Harden, Miller''s Crossing", "Judy Davis, Barton Fink"]'
53,Taylor Hackford épouse ...,'Hellen Miren, Soleil de nuit','["Rachel Ward, Contre toute attente", "Debra Winger, Officier et Gentleman", "Jessica Lange, Everybody''s All-American"]'
54,Sylvester Stallone épouse ...,'Brigitte Nielsen, Rocky IV','["Susan Blakely, Over the top", "Talia Shire, Rocky", "Anne Archer, La taverne de l’enfer"]'
55,Marie-Anne Chazel épouse un de ses partenaires de la troupe du Splendid,'Christian Clavier','["Thierry Lhermitte", "Bruno Moynot", "Gérard Jugnot"]'
56,'Dans Le Seigneur des Anneaux, comment s’appelle la capitale du Gondor, célèbre pour ses sept niveaux de murailles concentriques ?',Minas Tirith,'["Edoras", "Beleriand", "Taluth"]'
57,'Dans les aventuriers de l’arche perdue, quelle est la cité antique enfouie sous le désert égyptien ?',Tanis,'["Memphis", "Pétra", "Thèbes"]'
58,'Dans Willow (1988), comment s’appelle la forteresse légendaire censée avoir autrefois abrité une grande armée ?',Tir Asleen,'["Galladoorn", "Aldwyn Keep", "Nockmaar"]'
59,'Dans Alita Battle Angel, comment s’appelle la cité flottante dans le ciel',Zalem,'["Laputa", "Coruscant", "Zion"]'
60,'Dans les chroniques de Narnia, comment s’appelle le château royal situé au bord de la mer ?',Cair Paravel,'["Fort de Beruna", "Beaversdam", "Kern Deaglán"]'
